strategy,pair,year,chosen_params,train_sharpe,oos_return,oos_sharpe,oos_trades,oos_pf
mr_rsi_bb,EURUSD,2021,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.4345,0.00729,0.424125,13,1.29587
mr_rsi_bb,EURJPY,2014,"{""bb_k"": 2.5, ""rsi_lo"": 25}",-0.5962,-0.015173,-0.722035,16,0.64606
mr_rsi_bb,EURJPY,2015,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.855,0.027954,0.943285,44,1.350891
mr_rsi_bb,EURJPY,2016,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.5509,-0.067397,-2.211575,39,0.43965
mr_rsi_bb,EURJPY,2017,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.7695,-0.014755,-1.179302,8,0.385278
mr_rsi_bb,EURJPY,2018,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.276,0.020617,0.679154,38,1.314685
mr_rsi_bb,EURJPY,2019,"{""bb_k"": 2.5, ""rsi_lo"": 30}",0.0263,-0.014256,-0.387579,48,0.873395
mr_rsi_bb,EURJPY,2020,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.1629,-0.082397,-2.407881,50,0.470483
mr_rsi_bb,EURJPY,2021,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.063,-0.001952,-0.042989,44,0.979024
mr_rsi_bb,GBPUSD,2014,"{""bb_k"": 2.5, ""rsi_lo"": 30}",0.5504,-0.007124,-0.186208,58,0.940491
mr_rsi_bb,GBPUSD,2015,"{""bb_k"": 2.5, ""rsi_lo"": 30}",0.3043,-0.070654,-2.141072,58,0.515067
mr_rsi_bb,GBPUSD,2016,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.7822,-0.027112,-0.685264,59,0.839503
mr_rsi_bb,GBPUSD,2017,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.9544,-0.019751,-0.528155,55,0.843931
mr_rsi_bb,GBPUSD,2018,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.6726,-0.012686,-0.372952,46,0.87423
mr_rsi_bb,GBPUSD,2019,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.7215,-0.016249,-0.591387,28,0.77336
mr_rsi_bb,GBPUSD,2020,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.0175,-0.029755,-1.01594,44,0.71971
mr_rsi_bb,GBPUSD,2021,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.1975,-0.000732,0.015559,44,0.992668
mr_rsi_bb,AUDUSD,2014,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.7962,-0.02224,-0.533442,52,0.837773
mr_rsi_bb,AUDUSD,2015,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.5589,-0.011989,-0.688085,14,0.690604
mr_rsi_bb,AUDUSD,2016,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.4289,0.010949,0.354795,53,1.100894
mr_rsi_bb,AUDUSD,2017,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.1117,-0.013739,-0.443265,52,0.874433
mr_rsi_bb,AUDUSD,2018,"{""bb_k"": 2.0, ""rsi_lo"": 30}",-0.057,-0.0668,-1.910603,40,0.489654
mr_rsi_bb,AUDUSD,2019,"{""bb_k"": 2.5, ""rsi_lo"": 30}",-0.3,-0.044451,-1.379255,40,0.612982
mr_rsi_bb,AUDUSD,2020,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.7631,0.01832,0.909627,13,1.930615
mr_rsi_bb,AUDUSD,2021,"{""bb_k"": 2.0, ""rsi_lo"": 25}",-0.4842,-0.01402,-0.757585,14,0.646782
mr_zscore,USDJPY,2014,"{""n"": 72, ""z"": 2.0}",-0.1288,-0.008158,-0.178394,56,0.94632
mr_zscore,USDJPY,2015,"{""n"": 72, ""z"": 2.0}",-0.1215,-0.00999,-0.220015,55,0.934724
mr_zscore,USDJPY,2016,"{""n"": 72, ""z"": 2.0}",-0.4546,-0.073428,-1.690679,63,0.624912
mr_zscore,USDJPY,2017,"{""n"": 72, ""z"": 2.5}",-0.1824,0.028764,1.028122,25,1.499936
mr_zscore,USDJPY,2018,"{""n"": 72, ""z"": 2.5}",-0.2077,-0.023958,-0.730072,29,0.736993
mr_zscore,USDJPY,2019,"{""n"": 72, ""z"": 2.5}",-0.2481,0.001802,0.071025,31,1.020544
mr_zscore,USDJPY,2020,"{""n"": 72, ""z"": 2.5}",-0.2682,-0.021461,-0.63988,34,0.793839
mr_zscore,USDJPY,2021,"{""n"": 72, ""z"": 2.0}",-0.0295,-0.005187,-0.08267,70,1.00548
mr_zscore,EURUSD,2014,"{""n"": 72, ""z"": 2.0}",-0.9971,0.027727,0.600121,64,1.167606
mr_zscore,EURUSD,2015,"{""n"": 24, ""z"": 2.0}",-0.4911,-0.064126,-1.464974,108,0.743436
mr_zscore,EURUSD,2016,"{""n"": 72, ""z"": 2.0}",-0.543,0.021765,0.451561,60,1.157637
mr_zscore,EURUSD,2017,"{""n"": 72, ""z"": 2.0}",-0.0367,0.008343,0.178768,53,1.042582
mr_zscore,EURUSD,2018,"{""n"": 72, ""z"": 2.0}",0.2128,-0.012712,-0.275307,54,0.914576
mr_zscore,EURUSD,2019,"{""n"": 72, ""z"": 2.0}",-0.0255,-0.039994,-0.980102,54,0.794218
mr_zscore,EURUSD,2020,"{""n"": 72, ""z"": 2.0}",-0.1284,-0.095727,-2.09914,66,0.508908
mr_zscore,EURUSD,2021,"{""n"": 72, ""z"": 2.0}",-0.8547,0.070035,1.451907,59,1.511645
mr_zscore,EURJPY,2014,"{""n"": 72, ""z"": 2.0}",-0.0508,0.003454,0.099235,58,0.97668
mr_zscore,EURJPY,2015,"{""n"": 72, ""z"": 2.0}",-0.2581,-0.023637,-0.600493,46,0.835633
mr_zscore,EURJPY,2016,"{""n"": 72, ""z"": 2.0}",-0.5485,-0.003919,-0.073113,52,0.989774
mr_zscore,EURJPY,2017,"{""n"": 72, ""z"": 2.0}",0.202,-0.008563,-0.268697,55,0.918813
mr_zscore,EURJPY,2018,"{""n"": 72, ""z"": 2.0}",-0.1816,-0.014688,-0.33928,62,0.90907
mr_zscore,EURJPY,2019,"{""n"": 72, ""z"": 2.0}",-0.2969,0.040543,1.010135,53,1.324725
